10
10
50
1, 0, 0, 1, 1, 1
1, 1, 0, 0, 1, 1
0,0,null,null,-2346446,ZONE1,0,true,false
0,1,null,null,-2346446,ZONE1,0,true,false
0,2,null,null,null,null,null,true,false
0,3,null,null,null,null,null,true,false
0,4,null,null,null,null,null,true,false
0,5,null,null,null,null,null,true,false
0,6,null,null,null,null,null,true,false
0,7,ECOLES,null,null,null,null,true,false
0,8,null,null,null,null,null,true,false
0,9,null,null,null,null,null,true,false
1,0,null,null,-2346446,ZONE1,0,true,false
1,1,MAISONS,BLEU,-2346446,ZONE1,0,true,false
1,2,null,null,null,null,null,true,false
1,3,null,null,null,null,null,true,false
1,4,null,null,null,null,null,true,false
1,5,null,null,null,null,null,true,false
1,6,null,null,-7581656,ZONE8,2,true,false
1,7,null,null,-7581656,ZONE8,2,true,false
1,8,MAISONS,null,-7581656,ZONE8,2,true,false
1,9,null,null,-7581656,ZONE8,2,true,false
2,0,USINES,null,-2346446,ZONE1,0,true,false
2,1,null,null,-2346446,ZONE1,0,true,false
2,2,null,null,null,null,null,true,false
2,3,ECOLES,MARRON,null,null,null,true,false
2,4,null,null,null,null,null,true,false
2,5,null,null,null,null,null,true,false
2,6,USINES,VERT,-7581656,ZONE8,2,true,false
2,7,null,null,-7581656,ZONE8,2,true,false
2,8,null,null,-7581656,ZONE8,2,true,false
2,9,null,null,-7581656,ZONE8,2,true,false
3,0,null,null,null,null,null,true,false
3,1,null,null,null,null,null,true,false
3,2,null,null,null,null,null,true,false
3,3,null,null,null,null,null,true,false
3,4,null,null,null,null,null,true,false
3,5,null,null,null,null,null,true,false
3,6,null,null,null,null,null,true,false
3,7,null,null,null,null,null,true,false
3,8,null,null,null,null,null,true,false
3,9,null,null,null,null,null,true,false
4,0,null,null,null,null,null,true,false
4,1,IMMEUBLES,null,null,null,null,true,false
4,2,null,null,null,null,null,true,false
4,3,null,null,null,null,null,true,false
4,4,null,null,null,null,null,true,false
4,5,null,null,null,null,null,true,false
4,6,null,null,null,null,null,true,false
4,7,null,null,null,null,null,true,false
4,8,null,null,null,null,null,true,false
4,9,null,null,null,null,null,true,false
5,0,null,null,null,null,null,true,false
5,1,null,null,null,null,null,true,false
5,2,null,null,null,null,null,true,false
5,3,null,null,null,null,null,true,false
5,4,null,null,null,null,null,true,false
5,5,USINES,null,null,null,null,true,false
5,6,null,null,null,null,null,true,false
5,7,null,null,null,null,null,true,false
5,8,null,null,null,null,null,true,false
5,9,null,null,null,null,null,true,false
6,0,null,null,null,null,null,true,false
6,1,null,null,null,null,null,true,false
6,2,MAISONS,null,-1668086,ZONE4,1,true,false
6,3,null,null,-1668086,ZONE4,1,true,false
6,4,null,null,-1668086,ZONE4,1,true,false
6,5,null,null,null,null,null,true,false
6,6,null,null,null,null,null,true,false
6,7,null,null,null,null,null,true,false
6,8,USINES,null,-23261,ZONE4,3,true,false
6,9,null,null,-23261,ZONE4,3,true,false
7,0,null,null,null,null,null,true,false
7,1,null,null,null,null,null,true,false
7,2,null,null,-1668086,ZONE4,1,true,false
7,3,USINES,NOIR,-1668086,ZONE4,1,true,false
7,4,null,null,-1668086,ZONE4,1,true,false
7,5,null,null,null,null,null,true,false
7,6,null,null,null,null,null,true,false
7,7,null,null,null,null,null,true,false
7,8,null,null,-23261,ZONE4,3,true,false
7,9,null,null,-23261,ZONE4,3,true,false
8,0,null,null,null,null,null,true,false
8,1,null,null,null,null,null,true,false
8,2,null,null,null,null,null,true,false
8,3,null,null,null,null,null,true,false
8,4,null,null,null,null,null,true,false
8,5,null,null,null,null,null,true,false
8,6,null,null,null,null,null,true,false
8,7,null,null,null,null,null,true,false
8,8,null,null,null,null,null,true,false
8,9,null,null,null,null,null,true,false
9,0,ECOLES,null,null,null,null,true,false
9,1,null,null,null,null,null,true,false
9,2,null,null,null,null,null,true,false
9,3,null,null,null,null,null,true,false
9,4,null,null,null,null,null,true,false
9,5,null,null,null,null,null,true,false
9,6,IMMEUBLES,null,null,null,null,true,false
9,7,null,null,null,null,null,true,false
9,8,null,null,null,null,null,true,false
9,9,null,null,null,null,null,true,false
