10
10
50
1, 1, 0, 1, 1, 1
1, 1, 1, 0, 1, 1

X , Y , symbole , Ecouleur , couleur , typeZone , id , estVide , estBase

0,0,null,null
0,1,null,null
0,2,null,null
0,3,null,null
0,4,null,null
0,5,null,null
0,6,null,null
0,7,null,null
0,8,null,null
0,9,null,null
1,0,null,null
1,1,null,null
1,2,ZONE1,MAISONS
1,3,null,null
1,4,null,null
1,5,null,null
1,6,null,null
1,7,null,null
1,8,null,null
1,9,null,null
2,0,null,null
2,1,null,null
2,2,null,null
2,3,null,null
2,4,null,null
2,5,null,null
2,6,null,null
2,7,null,null
2,8,null,null
2,9,null,null
3,0,null,null
3,1,null,null
3,2,null,null
3,3,null,null
3,4,null,null
3,5,null,null
3,6,null,null
3,7,null,null
3,8,null,null
3,9,null,null
4,0,null,null
4,1,null,null
4,2,null,MAISONS
4,3,null,null
4,4,null,null
4,5,null,null
4,6,null,null
4,7,null,null
4,8,null,null
4,9,null,null
5,0,null,null
5,1,null,null
5,2,null,null
5,3,null,null
5,4,null,null
5,5,null,null
5,6,null,null
5,7,null,null
5,8,null,null
5,9,null,null
6,0,null,null
6,1,null,null
6,2,null,null
6,3,null,null
6,4,null,null
6,5,null,null
6,6,null,null
6,7,null,null
6,8,null,null
6,9,null,null
7,0,null,null
7,1,null,null
7,2,null,null
7,3,null,null
7,4,null,null
7,5,null,null
7,6,null,null
7,7,null,null
7,8,null,null
7,9,null,null
8,0,null,null
8,1,null,null
8,2,null,null
8,3,null,null
8,4,null,null
8,5,null,null
8,6,null,null
8,7,null,null
8,8,null,null
8,9,null,null
9,0,null,null
9,1,null,null
9,2,null,null
9,3,null,null
9,4,null,null
9,5,null,null
9,6,null,null
9,7,null,null
9,8,null,null
9,9,null,null
